program,fractal,degree,constant_real,constant_imag,radius,max_iterations,horizontal_samples,vertical_samples,lower_real,lower_imag,upper_real,upper_imag,runtime,threads,grid_size
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16,16,-2.000000,-2.000000,2.000000,2.000000,0.181172,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,32,32,-2.000000,-2.000000,2.000000,2.000000,0.183119,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,64,64,-2.000000,-2.000000,2.000000,2.000000,0.182892,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,128,128,-2.000000,-2.000000,2.000000,2.000000,0.183445,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,256,256,-2.000000,-2.000000,2.000000,2.000000,0.181991,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,512,512,-2.000000,-2.000000,2.000000,2.000000,0.181756,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1024,1024,-2.000000,-2.000000,2.000000,2.000000,0.183790,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,2048,2048,-2.000000,-2.000000,2.000000,2.000000,0.186675,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,4096,4096,-2.000000,-2.000000,2.000000,2.000000,0.195768,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,8192,8192,-2.000000,-2.000000,2.000000,2.000000,0.234221,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16384,16384,-2.000000,-2.000000,2.000000,2.000000,0.378954,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10,10,-2.000000,-2.000000,2.000000,2.000000,0.183882,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,100,100,-2.000000,-2.000000,2.000000,2.000000,0.181858,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1000,1000,-2.000000,-2.000000,2.000000,2.000000,0.182995,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.256600,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.260132,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16,16,-2.000000,-2.000000,2.000000,2.000000,0.182530,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,32,32,-2.000000,-2.000000,2.000000,2.000000,0.183657,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,64,64,-2.000000,-2.000000,2.000000,2.000000,0.183144,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,128,128,-2.000000,-2.000000,2.000000,2.000000,0.182724,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,256,256,-2.000000,-2.000000,2.000000,2.000000,0.181588,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,512,512,-2.000000,-2.000000,2.000000,2.000000,0.183204,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1024,1024,-2.000000,-2.000000,2.000000,2.000000,0.183527,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,2048,2048,-2.000000,-2.000000,2.000000,2.000000,0.186845,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,4096,4096,-2.000000,-2.000000,2.000000,2.000000,0.194398,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,8192,8192,-2.000000,-2.000000,2.000000,2.000000,0.233813,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16384,16384,-2.000000,-2.000000,2.000000,2.000000,0.380388,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10,10,-2.000000,-2.000000,2.000000,2.000000,0.182862,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,100,100,-2.000000,-2.000000,2.000000,2.000000,0.181818,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1000,1000,-2.000000,-2.000000,2.000000,2.000000,0.182947,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.255429,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.257364,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16,16,-2.000000,-2.000000,2.000000,2.000000,0.181152,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,32,32,-2.000000,-2.000000,2.000000,2.000000,0.182752,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,64,64,-2.000000,-2.000000,2.000000,2.000000,0.182179,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,128,128,-2.000000,-2.000000,2.000000,2.000000,0.181500,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,256,256,-2.000000,-2.000000,2.000000,2.000000,0.181801,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,512,512,-2.000000,-2.000000,2.000000,2.000000,0.181361,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1024,1024,-2.000000,-2.000000,2.000000,2.000000,0.182799,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,2048,2048,-2.000000,-2.000000,2.000000,2.000000,0.186925,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,4096,4096,-2.000000,-2.000000,2.000000,2.000000,0.194748,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,8192,8192,-2.000000,-2.000000,2.000000,2.000000,0.233907,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16384,16384,-2.000000,-2.000000,2.000000,2.000000,0.378753,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10,10,-2.000000,-2.000000,2.000000,2.000000,0.180855,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,100,100,-2.000000,-2.000000,2.000000,2.000000,0.181738,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1000,1000,-2.000000,-2.000000,2.000000,2.000000,0.183532,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.257219,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.255673,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16,16,-2.000000,-2.000000,2.000000,2.000000,0.181494,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,32,32,-2.000000,-2.000000,2.000000,2.000000,0.181084,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,64,64,-2.000000,-2.000000,2.000000,2.000000,0.180543,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,128,128,-2.000000,-2.000000,2.000000,2.000000,0.180950,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,256,256,-2.000000,-2.000000,2.000000,2.000000,0.181345,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,512,512,-2.000000,-2.000000,2.000000,2.000000,0.181276,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1024,1024,-2.000000,-2.000000,2.000000,2.000000,0.183736,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,2048,2048,-2.000000,-2.000000,2.000000,2.000000,0.184663,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,4096,4096,-2.000000,-2.000000,2.000000,2.000000,0.194858,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,8192,8192,-2.000000,-2.000000,2.000000,2.000000,0.233079,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,16384,16384,-2.000000,-2.000000,2.000000,2.000000,0.378521,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10,10,-2.000000,-2.000000,2.000000,2.000000,0.182506,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,100,100,-2.000000,-2.000000,2.000000,2.000000,0.181310,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,1000,1000,-2.000000,-2.000000,2.000000,2.000000,0.182692,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.257268,1,1
build/cuda-fractals,burning ship,2.000000,0.000000,0.000000,2.000000,25,10000,10000,-2.000000,-2.000000,2.000000,2.000000,0.260187,1,1
